date;date;parcelle;plot ;modality;plante;nb_feuille;H_fev;d_collet;h_tige;weight_fresh;weight_dry;Nb_larves;h_tige_f1;Elongation;piqure;pollen_beetle;Tortuotype;Tige_A;Tige_B;Tige_C;Tige_eclate;Buissonnante;nb_ramification
44866;2022-11-01;2022- P1;2;OSR + WFB;3;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + WFB;4;3;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + WFB;5;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + WFB;6;3;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + WFB;7;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + WFB;8;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + WFB;9;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;2;OSR + WFB;10;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;1;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;2;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;3;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;4;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;5;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;6;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;7;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;8;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;9;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + ART;10;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;1;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;2;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;3;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;4;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;5;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;6;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;7;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;8;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;9;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR;10;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;1;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;2;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;3;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;4;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;5;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;6;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;7;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;8;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;9;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P1;3;OSR + WFB;10;3;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;1;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;2;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;3;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;4;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;5;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;6;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;7;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;8;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;9;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + ART;10;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;1;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;2;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;3;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;4;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;5;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;6;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;7;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;8;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;9;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;10;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR;1;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR;2;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR;3;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR;4;13;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR;5;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR;6;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR;7;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR;8;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR;9;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + SFB;10;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;1;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;2;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;3;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;4;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;5;3;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;6;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;7;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;8;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;9;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + SFB;10;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;1;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;2;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;3;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;4;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;5;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;6;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;7;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;8;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;9;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + ART;10;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;1;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;2;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;3;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;4;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;5;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;6;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;7;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;8;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;9;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;1;OSR + WFB;10;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;1;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;2;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;3;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;4;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;5;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;6;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;7;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;8;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;9;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR;10;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;1;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;2;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;3;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;4;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;5;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;6;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;7;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;8;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;9;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;2;OSR + WFB;10;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;1;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;2;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;3;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;4;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;5;12;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;6;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;7;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;8;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;9;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + ART;10;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;1;4;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;2;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;3;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;4;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;5;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;6;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;7;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;8;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;9;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + WFB;10;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;1;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;2;14;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;3;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;4;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;5;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;6;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;7;6;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;8;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;9;15;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR;10;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;1;5;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;2;11;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;3;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;4;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;5;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;6;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;7;8;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;8;7;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;9;10;;na;na;;;;na;;na;na;;na;na;na;na;na;
44866;2022-11-01;2022- P2;3;OSR + SFB;10;9;;na;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;1;na;;15;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;2;na;;14;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;3;na;;12;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;4;na;;13;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;5;na;;15;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;6;na;;6;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;7;na;;21;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;8;na;;18;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;9;na;;10;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;10;na;;10;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;11;na;;12;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;12;na;;17;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;13;na;;20;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;14;na;;21;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR;15;na;;22;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;1;na;;21;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;2;na;;22;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;3;na;;19;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;4;na;;23;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;5;na;;18;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;6;na;;11;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;7;na;;8;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;8;na;;10;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;9;na;;15;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;10;na;;11;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;11;na;;16;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;12;na;;11;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;13;na;;10;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;14;na;;15;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + WFB;15;na;;13;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + ART;1;na;;15;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + ART;2;na;;13;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + ART;3;na;;14;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + ART;4;na;;12;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + ART;5;na;;8;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + ART;6;na;;20;na;;;;na;;na;na;;na;na;na;na;na;
44873;2022-11-08;2022- P1;1;OSR + ART;7;na;;18;na;;;;na;;na;na;;na;na;na;na;na;
