date;parcelle;plot;modalite;nb_grosse_altise;nb_charancon_bourgeon;nb_charancon_tige;nb_meligethe;prop_altises
2023-09-21;2023- P3;2;OSR + WFB;0;0;0;0;0
2023-09-21;2023- P3;3;OSR;2;0;0;0;3.448275862
2023-09-21;2023- P3;3;OSR + WFB;1;0;0;0;1.724137931
2023-09-21;2023- P3;3;OSR + SFB;8;0;0;0;13.79310345
2023-09-21;2023- P3;3;OSR + ART;6;0;0;0;10.34482759
2023-09-21;2023- P3;4;OSR + SFB;0;0;0;0;0
2023-09-21;2023- P3;4;OSR + WFB;5;0;0;0;8.620689655
2023-09-21;2023- P3;4;OSR;0;0;0;0;0
2023-09-21;2023- P3;4;OSR + ART;1;0;0;0;1.724137931
2023-09-21;2023- P3;5;OSR + SFB;1;0;0;0;1.724137931
2023-09-21;2023- P3;5;OSR + ART;0;0;0;0;0
2023-09-21;2023- P3;5;OSR;2;1;0;0;3.448275862
2023-09-21;2023- P3;5;OSR + WFB;3;0;0;0;5.172413793
2023-09-21;2023- P3;6;OSR;1;1;0;0;1.724137931
2023-09-21;2023- P3;6;OSR + ART;2;0;0;0;3.448275862
2023-09-21;2023- P3;6;OSR + SFB;0;0;0;0;0
2023-09-21;2023- P3;6;OSR + WFB;1;0;0;0;1.724137931
2023-09-26;2023- P3;1;OSR + ART;na;;;;#VALEUR!
2023-09-26;2023- P3;1;OSR + SFB;8;;;;9.090909091
2023-09-26;2023- P3;1;OSR;10;;;;11.36363636
2023-09-26;2023- P3;1;OSR + WFB;5;1;;;5.681818182
2023-09-26;2023- P3;2;OSR;na;;;;#VALEUR!
2023-09-26;2023- P3;2;OSR + ART;3;;;;3.409090909
2023-09-26;2023- P3;2;OSR + SFB;6;;;;6.818181818
2023-09-26;2023- P3;2;OSR + WFB;2;;;;2.272727273
2023-09-26;2023- P3;3;OSR;3;;;;3.409090909
2023-09-26;2023- P3;3;OSR + WFB;5;;;;5.681818182
2023-09-26;2023- P3;3;OSR + SFB;na;;;;#VALEUR!
2023-09-26;2023- P3;3;OSR + ART;1;;;;1.136363636
2023-09-26;2023- P3;4;OSR + SFB;3;;;;3.409090909
2023-09-26;2023- P3;4;OSR + WFB;na;;;;#VALEUR!
2023-09-26;2023- P3;4;OSR;8;;;;9.090909091
2023-09-26;2023- P3;4;OSR + ART;3;;;;3.409090909
2023-09-26;2023- P3;5;OSR + SFB;5;;;;5.681818182
2023-09-26;2023- P3;5;OSR + ART;na;;;;#VALEUR!
2023-09-26;2023- P3;5;OSR;8;;;;9.090909091
2023-09-26;2023- P3;5;OSR + WFB;1;;;;1.136363636
2023-09-26;2023- P3;6;OSR;na;;;;#VALEUR!
2023-09-26;2023- P3;6;OSR + ART;6;;;;6.818181818
2023-09-26;2023- P3;6;OSR + SFB;5;;;;5.681818182
2023-09-26;2023- P3;6;OSR + WFB;6;;;;6.818181818
2023-09-28;2023- P3;1;OSR + ART;4;;;;2.857142857
2023-09-28;2023- P3;1;OSR + SFB;10;;;;7.142857143
2023-09-28;2023- P3;1;OSR;16;;;;11.42857143
2023-09-28;2023- P3;1;OSR + WFB;5;;;;3.571428571
2023-09-28;2023- P3;2;OSR;7;;;;5
2023-09-28;2023- P3;2;OSR + ART;4;;;;2.857142857
2023-09-28;2023- P3;2;OSR + SFB;5;;;;3.571428571
2023-09-28;2023- P3;2;OSR + WFB;4;;;;2.857142857
2023-09-28;2023- P3;3;OSR;9;;;;6.428571429
2023-09-28;2023- P3;3;OSR + WFB;6;;;;4.285714286
2023-09-28;2023- P3;3;OSR + SFB;2;;;;1.428571429
2023-09-28;2023- P3;3;OSR + ART;4;;;;2.857142857
2023-09-28;2023- P3;4;OSR + SFB;3;;;;2.142857143
2023-09-28;2023- P3;4;OSR + WFB;11;;;;7.857142857
2023-09-28;2023- P3;4;OSR;9;;;;6.428571429
2023-09-28;2023- P3;4;OSR + ART;1;;;;0.714285714
2023-09-28;2023- P3;5;OSR + SFB;2;;;;1.428571429
2023-09-28;2023- P3;5;OSR + ART;13;;;;9.285714286
2023-09-28;2023- P3;5;OSR;7;;;;5
2023-09-28;2023- P3;5;OSR + WFB;2;;;;1.428571429
2023-09-28;2023- P3;6;OSR;6;;;;4.285714286
2023-09-28;2023- P3;6;OSR + ART;4;;;;2.857142857
2023-09-28;2023- P3;6;OSR + SFB;5;;;;3.571428571
2023-09-28;2023- P3;6;OSR + WFB;1;;;;0.714285714
2023-10-03;2023- P3;1;OSR + ART;8;;;;4.968944099
2023-10-03;2023- P3;1;OSR + SFB;6;;;;3.726708075
2023-10-03;2023- P3;1;OSR;5;;;;3.105590062
2023-10-03;2023- P3;1;OSR + WFB;4;1;;;2.48447205
2023-10-03;2023- P3;2;OSR;11;;;;6.832298137
2023-10-03;2023- P3;2;OSR + ART;8;;;;4.968944099
2023-10-03;2023- P3;2;OSR + SFB;7;;;;4.347826087
2023-10-03;2023- P3;2;OSR + WFB;6;;;;3.726708075
2023-10-03;2023- P3;3;OSR;14;;;;8.695652174
2023-10-03;2023- P3;3;OSR + WFB;9;;;;5.590062112
2023-10-03;2023- P3;3;OSR + SFB;9;;;;5.590062112
2023-10-03;2023- P3;3;OSR + ART;8;;;;4.968944099
2023-10-03;2023- P3;4;OSR + SFB;2;;;;1.242236025
2023-10-03;2023- P3;4;OSR + WFB;7;;;;4.347826087
2023-10-03;2023- P3;4;OSR;13;;;;8.074534161
2023-10-03;2023- P3;4;OSR + ART;3;;;;1.863354037
2023-10-03;2023- P3;5;OSR + SFB;0;;;;0
2023-10-03;2023- P3;5;OSR + ART;7;;;;4.347826087
2023-10-03;2023- P3;5;OSR;2;;;;1.242236025
2023-10-03;2023- P3;5;OSR + WFB;2;;;;1.242236025
2023-10-03;2023- P3;6;OSR;5;;;;3.105590062
2023-10-03;2023- P3;6;OSR + ART;7;;;;4.347826087
2023-10-03;2023- P3;6;OSR + SFB;15;;;;9.316770186
2023-10-03;2023- P3;6;OSR + WFB;3;;;;1.863354037
2023-10-10;2023- P3;1;OSR + ART;6;;;;5.660377358
2023-10-10;2023- P3;1;OSR + SFB;7;;;;6.603773585
2023-10-10;2023- P3;1;OSR;7;;;;6.603773585
2023-10-10;2023- P3;1;OSR + WFB;5;;;;4.716981132
2023-10-10;2023- P3;2;OSR;4;;;;3.773584906
2023-10-10;2023- P3;2;OSR + ART;3;;;;2.830188679
2023-10-10;2023- P3;2;OSR + SFB;4;;;;3.773584906
2023-10-10;2023- P3;2;OSR + WFB;1;;;;0.943396226
2023-10-10;2023- P3;3;OSR;7;;;;6.603773585
2023-10-10;2023- P3;3;OSR + WFB;4;;;;3.773584906
2023-10-10;2023- P3;3;OSR + SFB;1;;;;0.943396226
2023-10-10;2023- P3;3;OSR + ART;2;;;;1.886792453
2023-10-10;2023- P3;4;OSR + SFB;0;;;;0
2023-10-10;2023- P3;4;OSR + WFB;2;;;;1.886792453
2023-10-10;2023- P3;4;OSR;8;;;;7.547169811
2023-10-10;2023- P3;4;OSR + ART;9;;;;8.490566038
2023-10-10;2023- P3;5;OSR + SFB;1;;;;0.943396226
2023-10-10;2023- P3;5;OSR + ART;0;;;;0
2023-10-10;2023- P3;5;OSR;4;;;;3.773584906
2023-10-10;2023- P3;5;OSR + WFB;2;;;;1.886792453
2023-10-10;2023- P3;6;OSR;10;;;;9.433962264
2023-10-10;2023- P3;6;OSR + ART;8;;;;7.547169811
2023-10-10;2023- P3;6;OSR + SFB;9;;;;8.490566038
2023-10-10;2023- P3;6;OSR + WFB;2;;;;1.886792453
 2023-10-17;2023- P3;1;OSR + ART;13;;;;6.842105263
 2023-10-17;2023- P3;1;OSR + SFB;3;;;;1.578947368
 2023-10-17;2023- P3;1;OSR;8;;;;4.210526316
 2023-10-17;2023- P3;1;OSR + WFB;7;;;;3.684210526
 2023-10-17;2023- P3;2;OSR;9;;;;4.736842105
 2023-10-17;2023- P3;2;OSR + ART;8;;;;4.210526316
 2023-10-17;2023- P3;2;OSR + SFB;9;;;;4.736842105
 2023-10-17;2023- P3;2;OSR + WFB;11;;;;5.789473684
 2023-10-17;2023- P3;3;OSR;8;;;;4.210526316
 2023-10-17;2023- P3;3;OSR + WFB;8;;;;4.210526316
 2023-10-17;2023- P3;3;OSR + SFB;7;;;;3.684210526
 2023-10-17;2023- P3;3;OSR + ART;9;;;;4.736842105
 2023-10-17;2023- P3;4;OSR + SFB;10;;;;5.263157895
 2023-10-17;2023- P3;4;OSR + WFB;9;;;;4.736842105
 2023-10-17;2023- P3;4;OSR;13;;;;6.842105263
 2023-10-17;2023- P3;4;OSR + ART;6;;;;3.157894737
 2023-10-17;2023- P3;5;OSR + SFB;4;;;;2.105263158
 2023-10-17;2023- P3;5;OSR + ART;6;;;;3.157894737
 2023-10-17;2023- P3;5;OSR;12;;;;6.315789474
 2023-10-17;2023- P3;5;OSR + WFB;4;;;;2.105263158
 2023-10-17;2023- P3;6;OSR;6;;;;3.157894737
 2023-10-17;2023- P3;6;OSR + ART;12;;;;6.315789474
 2023-10-17;2023- P3;6;OSR + SFB;6;;;;3.157894737
 2023-10-17;2023- P3;6;OSR + WFB;2;;;;1.052631579
